origem_dado,codigo_cnes,codigo_ine,unidade,equipe,distrito,idhm_bairro,saneamento_pct,populacao_adscrita,cobertura_pre_natal,vacinacao_infantil,hipertensos_acompanhados,diabeticos_acompanhados,saude_bucal_atendimentos,citopatologico_coletado,autoavaliacao_equipes,satisfacao_usuarios
SIMULADO,2000413,9000177,USF 060,eSF 060,Distrito Sanitário VI,0.767,76.0,4693,48.5,68.7,18.8,41.8,12.6,42.5,63.1,74.0
SIMULADO,2000420,9000180,USF 061,eSF 061,Distrito Sanitário V,0.529,38.8,4702,33.7,54.3,33.3,48.3,33.7,51.7,55.0,88.9
SIMULADO,2000427,9000183,USF 062,eSF 062,Distrito Sanitário VI,0.65,53.2,4155,58.4,56.6,51.6,53.5,68.1,49.4,61.8,74.1
SIMULADO,2000434,9000186,USF 063,eSF 063,Distrito Sanitário VI,0.695,86.5,3508,76.2,82.5,77.0,51.8,65.9,56.8,69.8,84.5
SIMULADO,2000441,9000189,USF 064,eSF 064,Distrito Sanitário VIII,0.733,63.0,3606,100.0,97.6,89.0,81.6,79.6,73.1,80.3,82.8
SIMULADO,2000448,9000192,USF 065,eSF 065,Distrito Sanitário VII,0.744,65.6,4749,57.3,42.8,36.7,47.7,41.8,38.9,44.8,50.7
SIMULADO,2000455,9000195,USF 066,eSF 066,Distrito Sanitário V,0.751,89.8,2939,73.6,77.8,77.1,45.3,70.7,56.6,80.2,72.8
SIMULADO,2000462,9000198,USF 067,eSF 067,Distrito Sanitário VIII,0.649,88.1,3101,51.8,49.3,53.0,29.6,15.2,49.6,72.0,57.6
SIMULADO,2000469,9000201,USF 068,eSF 068,Distrito Sanitário IV,0.638,54.5,4532,70.6,84.8,64.7,70.9,39.4,61.3,84.0,65.3
SIMULADO,2000476,9000204,USF 069,eSF 069,Distrito Sanitário VIII,0.757,72.8,3204,64.4,73.2,69.4,60.8,56.2,87.0,58.6,87.8
SIMULADO,2000483,9000207,USF 070,eSF 070,Distrito Sanitário VII,0.663,69.0,2811,28.0,42.9,34.3,34.7,18.6,16.9,56.9,63.2
SIMULADO,2000490,9000210,USF 071,eSF 071,Distrito Sanitário VI,0.565,70.3,3657,72.1,79.1,60.0,84.6,75.3,71.7,87.3,82.2
SIMULADO,2000497,9000213,USF 072,eSF 072,Distrito Sanitário VIII,0.578,49.9,3045,45.2,61.1,52.7,49.0,36.7,37.0,59.3,66.1
SIMULADO,2000504,9000216,USF 073,eSF 073,Distrito Sanitário V,0.597,57.8,4516,41.9,66.3,48.1,52.8,20.9,45.3,64.2,67.9
SIMULADO,2000511,9000219,USF 074,eSF 074,Distrito Sanitário VI,0.725,78.7,4563,57.1,49.7,44.5,72.0,25.8,49.5,46.2,74.8
SIMULADO,2000518,9000222,USF 075,eSF 075,Distrito Sanitário III,0.693,72.8,2995,60.4,53.8,65.0,45.8,14.2,28.5,65.7,69.4
SIMULADO,2000525,9000225,USF 076,eSF 076,Distrito Sanitário VIII,0.742,71.2,3576,55.8,89.9,39.6,56.8,58.6,72.1,67.8,82.0
SIMULADO,2000532,9000228,USF 077,eSF 077,Distrito Sanitário V,0.642,63.1,4758,59.8,63.8,38.1,57.0,46.4,76.7,69.0,70.7
SIMULADO,2000539,9000231,USF 078,eSF 078,Distrito Sanitário VII,0.694,58.4,4130,80.3,64.3,50.0,66.5,53.3,61.7,62.6,73.8
SIMULADO,2000546,9000234,USF 079,eSF 079,Distrito Sanitário IV,0.736,71.7,2760,83.1,82.9,61.1,58.5,71.7,71.2,78.3,66.0
SIMULADO,2000553,9000237,USF 080,eSF 080,Distrito Sanitário VII,0.652,63.1,3735,92.8,93.1,72.3,63.2,83.0,89.1,89.7,67.1
SIMULADO,2000560,9000240,USF 081,eSF 081,Distrito Sanitário I,0.721,74.0,3811,62.4,55.0,38.2,77.8,47.7,56.3,61.9,70.1
SIMULADO,2000567,9000243,USF 082,eSF 082,Distrito Sanitário I,0.62,57.6,3898,33.7,50.6,23.9,37.0,6.5,32.1,46.7,63.5
SIMULADO,2000574,9000246,USF 083,eSF 083,Distrito Sanitário V,0.647,68.5,2265,68.0,91.8,62.0,62.6,73.0,51.3,64.9,70.8
SIMULADO,2000581,9000249,USF 084,eSF 084,Distrito Sanitário VI,0.646,72.7,2978,62.6,69.0,78.3,60.3,52.7,61.8,64.4,71.0
SIMULADO,2000588,9000252,USF 085,eSF 085,Distrito Sanitário VII,0.572,58.5,4421,80.3,88.6,88.5,66.8,67.3,71.3,75.2,81.0
SIMULADO,2000595,9000255,USF 086,eSF 086,Distrito Sanitário IV,0.724,75.2,2827,85.2,66.4,60.3,61.1,70.4,57.8,63.7,60.0
SIMULADO,2000602,9000258,USF 087,eSF 087,Distrito Sanitário VI,0.638,64.2,2979,72.7,71.1,50.2,59.1,36.5,59.0,71.3,65.3
SIMULADO,2000609,9000261,USF 088,eSF 088,Distrito Sanitário V,0.681,68.1,3038,68.8,73.9,50.2,48.0,79.4,60.1,70.4,79.8
SIMULADO,2000616,9000264,USF 089,eSF 089,Distrito Sanitário VIII,0.723,66.6,2661,81.8,96.5,66.1,89.4,71.3,84.8,82.4,91.3
SIMULADO,2000623,9000267,USF 090,eSF 090,Distrito Sanitário VI,0.72,74.6,2604,92.7,100.0,87.1,100.0,91.5,98.1,87.2,79.8
SIMULADO,2000630,9000270,USF 091,eSF 091,Distrito Sanitário IV,0.74,73.2,3102,70.7,88.1,50.2,64.9,37.8,50.7,79.2,76.5
SIMULADO,2000637,9000273,USF 092,eSF 092,Distrito Sanitário VIII,0.671,83.9,4473,65.0,89.4,58.6,54.6,44.5,73.9,75.7,83.2
SIMULADO,2000644,9000276,USF 093,eSF 093,Distrito Sanitário I,0.642,76.8,2203,72.9,96.8,53.9,64.9,82.6,60.3,79.1,87.3
SIMULADO,2000651,9000279,USF 094,eSF 094,Distrito Sanitário VIII,0.673,70.4,2936,55.6,58.6,37.3,40.2,37.7,42.2,66.0,67.3
SIMULADO,2000658,9000282,USF 095,eSF 095,Distrito Sanitário II,0.528,46.7,2357,58.7,73.4,57.9,52.6,60.4,79.6,62.8,70.8
SIMULADO,2000665,9000285,USF 096,eSF 096,Distrito Sanitário III,0.55,46.1,3659,53.3,72.9,56.1,47.1,49.7,67.3,68.0,67.3
SIMULADO,2000672,9000288,USF 097,eSF 097,Distrito Sanitário VII,0.561,65.6,2851,67.9,72.4,61.8,65.9,51.2,61.8,72.3,78.6
SIMULADO,2000679,9000291,USF 098,eSF 098,Distrito Sanitário VI,0.59,61.1,4259,45.9,57.6,28.1,23.2,52.2,36.2,57.2,68.7
SIMULADO,2000686,9000294,USF 099,eSF 099,Distrito Sanitário VIII,0.716,75.4,3721,46.8,58.1,46.1,44.9,29.3,34.9,58.1,68.4
SIMULADO,2000693,9000297,USF 100,eSF 100,Distrito Sanitário VI,0.599,45.9,4237,35.6,38.9,16.7,20.4,1.1,29.7,43.0,59.6
SIMULADO,2000700,9000300,USF 101,eSF 101,Distrito Sanitário VI,0.646,72.0,3850,36.8,48.2,47.5,43.6,27.0,44.6,62.1,72.4
SIMULADO,2000707,9000303,USF 102,eSF 102,Distrito Sanitário III,0.797,83.3,3339,58.6,66.3,55.8,43.1,56.9,58.5,71.3,73.0
SIMULADO,2000714,9000306,USF 103,eSF 103,Distrito Sanitário I,0.648,55.9,4438,74.2,71.9,37.4,65.2,51.6,55.5,46.3,77.9
SIMULADO,2000721,9000309,USF 104,eSF 104,Distrito Sanitário I,0.746,70.9,3438,83.3,100.0,84.0,99.5,65.5,88.7,98.4,95.4
SIMULADO,2000728,9000312,USF 105,eSF 105,Distrito Sanitário III,0.596,61.7,4669,56.1,86.8,73.8,78.9,57.0,58.4,58.2,74.4
SIMULADO,2000735,9000315,USF 106,eSF 106,Distrito Sanitário I,0.662,66.6,4786,32.3,63.4,50.1,26.6,32.2,41.6,56.0,52.6
SIMULADO,2000742,9000318,USF 107,eSF 107,Distrito Sanitário V,0.594,57.1,3731,66.9,69.8,57.6,66.8,50.2,72.1,79.3,87.8
SIMULADO,2000749,9000321,USF 108,eSF 108,Distrito Sanitário VII,0.649,64.1,3953,58.6,71.4,67.4,54.0,30.9,40.1,63.4,72.9
SIMULADO,2000756,9000324,USF 109,eSF 109,Distrito Sanitário VIII,0.756,73.5,2864,63.0,74.1,67.6,38.9,44.9,58.3,58.2,59.3
SIMULADO,2000763,9000327,USF 110,eSF 110,Distrito Sanitário IV,0.525,53.7,4318,73.7,57.1,51.3,52.8,41.2,49.1,61.7,67.8
SIMULADO,2000770,9000330,USF 111,eSF 111,Distrito Sanitário VIII,0.719,83.7,3946,48.7,94.6,76.0,70.7,71.3,72.6,84.0,85.0
SIMULADO,2000777,9000333,USF 112,eSF 112,Distrito Sanitário VIII,0.701,49.6,4546,65.2,63.4,74.7,58.6,57.5,53.3,53.6,69.7
SIMULADO,2000784,9000336,USF 113,eSF 113,Distrito Sanitário VII,0.627,60.8,2894,93.5,69.8,91.7,71.3,63.9,89.2,87.5,76.8
SIMULADO,2000791,9000339,USF 114,eSF 114,Distrito Sanitário IV,0.55,56.4,4247,32.7,41.3,23.2,38.5,27.2,45.2,56.4,75.7
SIMULADO,2000798,9000342,USF 115,eSF 115,Distrito Sanitário III,0.686,71.0,3422,61.7,63.0,48.0,72.5,54.5,48.0,61.9,65.8
SIMULADO,2000805,9000345,USF 116,eSF 116,Distrito Sanitário VIII,0.632,60.3,2681,92.1,100.0,100.0,100.0,78.3,100.0,90.7,85.3
SIMULADO,2000812,9000348,USF 117,eSF 117,Distrito Sanitário II,0.701,56.0,2645,60.2,73.2,50.2,30.5,44.2,57.1,65.5,77.6
SIMULADO,2000819,9000351,USF 118,eSF 118,Distrito Sanitário IV,0.682,70.8,3661,82.1,88.8,63.5,73.5,62.6,75.4,90.2,87.2
SIMULADO,2000826,9000354,USF 119,eSF 119,Distrito Sanitário I,0.824,96.2,3030,86.5,84.2,59.5,62.0,52.8,71.5,78.4,80.4
SIMULADO,2000833,9000357,USF 120,eSF 120,Distrito Sanitário VII,0.658,53.6,2464,90.8,81.9,69.5,45.5,47.3,63.4,63.4,85.1
SIMULADO,2000840,9000360,USF 121,eSF 121,Distrito Sanitário VI,0.588,65.7,3310,57.3,70.0,52.1,53.2,50.0,65.9,65.2,74.1
SIMULADO,2000847,9000363,USF 122,eSF 122,Distrito Sanitário I,0.696,67.0,3897,82.5,73.6,48.9,68.0,58.8,51.4,62.6,77.0
SIMULADO,2000854,9000366,USF 123,eSF 123,Distrito Sanitário II,0.7,69.5,3029,55.4,67.0,40.3,35.1,25.4,44.7,71.8,66.8
SIMULADO,2000861,9000369,USF 124,eSF 124,Distrito Sanitário V,0.802,71.8,4683,93.6,64.0,60.9,71.1,63.9,65.3,66.8,79.0
SIMULADO,2000868,9000372,USF 125,eSF 125,Distrito Sanitário V,0.755,72.8,4226,55.3,59.5,39.2,38.1,41.4,46.4,74.2,69.9
SIMULADO,2000875,9000375,USF 126,eSF 126,Distrito Sanitário VII,0.712,81.6,3533,77.1,63.0,93.0,60.2,67.0,83.1,76.9,80.8
SIMULADO,2000882,9000378,USF 127,eSF 127,Distrito Sanitário III,0.812,85.8,4630,89.3,92.5,81.4,92.7,73.0,88.1,74.7,89.4
SIMULADO,2000889,9000381,USF 128,eSF 128,Distrito Sanitário VIII,0.573,71.2,3325,97.8,72.5,68.1,51.8,37.8,79.7,67.2,79.8
SIMULADO,2000896,9000384,USF 129,eSF 129,Distrito Sanitário IV,0.622,71.7,2563,67.4,74.6,46.1,55.2,32.7,78.3,60.7,71.7
SIMULADO,2000903,9000387,USF 130,eSF 130,Distrito Sanitário VII,0.597,63.2,2293,61.1,85.2,58.7,40.0,56.0,53.5,64.3,69.8
SIMULADO,2000910,9000390,USF 131,eSF 131,Distrito Sanitário II,0.645,78.4,4638,69.1,67.7,44.2,70.5,58.1,56.2,67.1,72.0
SIMULADO,2000917,9000393,USF 132,eSF 132,Distrito Sanitário I,0.556,59.1,4695,69.7,75.4,37.1,71.1,36.8,57.2,68.7,78.9
SIMULADO,2000924,9000396,USF 133,eSF 133,Distrito Sanitário I,0.737,80.3,4122,36.9,52.6,19.4,31.4,33.1,29.8,37.8,63.5
SIMULADO,2000931,9000399,USF 134,eSF 134,Distrito Sanitário III,0.66,63.6,2467,68.8,61.5,32.6,57.2,60.1,49.2,63.8,89.1
SIMULADO,2000938,9000402,USF 135,eSF 135,Distrito Sanitário VIII,0.548,55.3,2963,32.3,38.5,0.1,8.7,17.9,17.1,35.8,54.3
SIMULADO,2000945,9000405,USF 136,eSF 136,Distrito Sanitário I,0.589,53.3,2306,43.4,55.8,20.1,44.5,34.1,25.7,48.7,65.9
SIMULADO,2000952,9000408,USF 137,eSF 137,Distrito Sanitário III,0.708,78.7,2333,85.5,87.0,92.3,73.5,65.3,79.9,77.5,92.5
SIMULADO,2000959,9000411,USF 138,eSF 138,Distrito Sanitário I,0.755,66.1,2839,84.1,94.3,72.7,70.1,66.9,64.2,74.0,82.0
SIMULADO,2000966,9000414,USF 139,eSF 139,Distrito Sanitário VIII,0.86,92.2,3687,66.5,74.8,68.8,48.6,32.2,67.0,79.9,89.9
SIMULADO,2000973,9000417,USF 140,eSF 140,Distrito Sanitário VI,0.92,90.5,2370,34.4,51.8,50.7,39.1,15.8,40.3,59.6,63.4
SIMULADO,2000980,9000420,USF 141,eSF 141,Distrito Sanitário VII,0.717,81.1,4759,31.8,40.3,26.1,24.0,22.9,50.2,43.3,56.3
SIMULADO,2000987,9000423,USF 142,eSF 142,Distrito Sanitário VI,0.591,65.1,3383,44.2,66.7,36.7,48.2,30.8,45.3,50.9,62.8
SIMULADO,2000994,9000426,USF 143,eSF 143,Distrito Sanitário VI,0.488,63.4,2885,77.0,98.8,89.6,89.7,74.0,88.1,86.1,85.9
SIMULADO,2001001,9000429,USF 144,eSF 144,Distrito Sanitário VII,0.704,76.3,3541,71.6,72.0,72.6,63.6,44.7,54.8,76.2,79.4
SIMULADO,2001008,9000432,USF 145,eSF 145,Distrito Sanitário I,0.607,48.1,4254,55.3,53.3,40.7,51.3,26.6,68.0,56.2,76.0
SIMULADO,2001015,9000435,USF 146,eSF 146,Distrito Sanitário VII,0.643,63.7,3012,63.3,71.9,68.8,57.3,55.8,77.8,80.4,79.4
SIMULADO,2001022,9000438,USF 147,eSF 147,Distrito Sanitário VI,0.625,53.1,2323,49.4,52.4,39.8,56.0,20.7,40.2,45.5,72.5
SIMULADO,2001029,9000441,USF 148,eSF 148,Distrito Sanitário VI,0.667,62.6,2332,47.1,58.6,47.1,35.5,52.1,42.6,64.9,71.1
SIMULADO,2001036,9000444,USF 149,eSF 149,Distrito Sanitário IV,0.776,89.7,4415,66.3,80.8,50.7,75.1,62.8,68.6,68.5,73.2
SIMULADO,2001043,9000447,USF 150,eSF 150,Distrito Sanitário VII,0.694,74.5,2490,58.7,60.1,44.2,70.4,55.5,48.9,70.6,95.3
SIMULADO,2001050,9000450,USF 151,eSF 151,Distrito Sanitário IV,0.666,61.0,3852,75.2,80.4,69.1,58.2,65.8,86.8,73.1,82.6
SIMULADO,2001057,9000453,USF 152,eSF 152,Distrito Sanitário I,0.587,50.6,3199,69.1,73.7,62.3,81.2,70.9,70.6,70.1,69.6
SIMULADO,2001064,9000456,USF 153,eSF 153,Distrito Sanitário VIII,0.529,53.2,4221,58.4,96.6,52.4,70.5,44.4,65.5,72.6,71.4
SIMULADO,2001071,9000459,USF 154,eSF 154,Distrito Sanitário II,0.636,53.9,2357,61.0,48.1,46.6,55.5,40.7,24.6,57.5,61.2
SIMULADO,2001078,9000462,USF 155,eSF 155,Distrito Sanitário I,0.675,62.1,4534,78.2,97.1,76.2,69.3,77.3,63.4,82.2,87.8
SIMULADO,2001085,9000465,USF 156,eSF 156,Distrito Sanitário V,0.839,86.4,4015,75.4,100.0,93.5,83.6,95.5,97.5,90.2,84.4
SIMULADO,2001092,9000468,USF 157,eSF 157,Distrito Sanitário II,0.692,78.4,3368,32.5,62.2,61.4,41.4,24.2,60.6,60.1,68.4
SIMULADO,2001099,9000471,USF 158,eSF 158,Distrito Sanitário VII,0.768,81.7,2738,56.2,63.8,62.6,51.9,40.4,63.7,59.8,68.4
SIMULADO,2001106,9000474,USF 159,eSF 159,Distrito Sanitário IV,0.635,45.2,4740,79.9,92.5,63.7,88.3,84.3,61.6,88.0,88.7
SIMULADO,2001113,9000477,USF 160,eSF 160,Distrito Sanitário I,0.573,59.8,2985,57.2,63.4,69.0,51.6,51.2,57.3,64.8,64.7
SIMULADO,2001120,9000480,USF 161,eSF 161,Distrito Sanitário VIII,0.593,59.9,3475,81.1,100.0,68.1,63.3,71.0,87.8,80.3,74.2
SIMULADO,2001127,9000483,USF 162,eSF 162,Distrito Sanitário V,0.615,64.8,3224,58.6,58.8,60.2,56.5,41.5,35.2,65.4,72.0
SIMULADO,2001134,9000486,USF 163,eSF 163,Distrito Sanitário III,0.872,99.0,2799,100.0,100.0,86.4,94.4,76.6,89.1,99.3,91.3
SIMULADO,2001141,9000489,USF 164,eSF 164,Distrito Sanitário VI,0.606,44.1,3283,52.9,64.9,52.1,62.4,54.7,62.9,60.8,76.7
SIMULADO,2001148,9000492,USF 165,eSF 165,Distrito Sanitário V,0.755,70.8,2593,60.1,77.8,44.7,71.1,56.6,64.7,79.2,70.3
SIMULADO,2001155,9000495,USF 166,eSF 166,Distrito Sanitário I,0.599,64.6,2204,72.9,80.9,74.5,72.5,70.9,60.7,70.9,89.5
SIMULADO,2001162,9000498,USF 167,eSF 167,Distrito Sanitário VII,0.764,63.7,2953,66.4,74.0,39.1,45.2,51.8,56.1,69.4,66.6
SIMULADO,2001169,9000501,USF 168,eSF 168,Distrito Sanitário IV,0.715,83.3,2491,65.8,72.7,56.4,35.8,33.5,46.0,72.4,63.7
SIMULADO,2001176,9000504,USF 169,eSF 169,Distrito Sanitário VI,0.666,69.5,3278,54.0,64.1,67.3,32.7,51.6,52.8,68.9,63.2
