origem_dado,codigo_cnes,codigo_ine,unidade,equipe,distrito,idhm_bairro,saneamento_pct,populacao_adscrita,cobertura_pre_natal,vacinacao_infantil,hipertensos_acompanhados,diabeticos_acompanhados,saude_bucal_atendimentos,citopatologico_coletado,autoavaliacao_equipes,satisfacao_usuarios,eixo_indicadores_assistenciais,eixo_autoavaliacao_equipes,eixo_satisfacao_usuarios,desempenho_bruto,ajuste_contexto,pulso,classificacao,eixo_mais_fraco,grupo
SIMULADO,2000070,9000030,USF 011,eSF 011,Distrito Sanitário III,0.759,72.8,3966,64.9,86.1,70.6,67.8,64.6,70.0,82.2,80.9,67.119601940724,72.27414330218069,66.95501730103807,68.1,-2.0,66.1,Atenção,satisfacao_usuarios,1
SIMULADO,2000077,9000033,USF 012,eSF 012,Distrito Sanitário IV,0.75,86.7,2420,100.0,100.0,86.0,85.8,100.0,81.4,100.0,79.9,91.54139235969977,100.0,65.2249134948097,88.0,-3.6,84.3,Excelência,satisfacao_usuarios,1
SIMULADO,2000084,9000036,USF 013,eSF 013,Distrito Sanitário V,0.686,59.7,3955,63.1,63.5,68.3,71.1,53.9,63.7,72.7,81.7,58.73987324169721,57.476635514018696,68.33910034602077,60.4,1.7,62.1,Atenção,autoavaliacao_equipes,1
SIMULADO,2000091,9000039,USF 014,eSF 014,Distrito Sanitário VII,0.781,71.0,3089,46.7,56.4,50.8,36.5,39.1,12.2,45.9,60.5,32.21367557207354,15.732087227414333,31.660899653979236,28.8,-2.4,26.4,Crítico,autoavaliacao_equipes,0
SIMULADO,2000098,9000042,USF 015,eSF 015,Distrito Sanitário VI,0.722,77.4,3369,87.4,100.0,87.2,78.5,69.0,92.0,91.2,76.9,84.64253127797654,86.29283489096574,60.03460207612458,80.1,-1.6,78.4,Excelência,satisfacao_usuarios,1
SIMULADO,2000105,9000045,USF 016,eSF 016,Distrito Sanitário VII,0.603,57.1,4065,58.5,74.9,58.7,59.7,33.9,36.3,70.4,79.4,48.21534599432539,53.89408099688474,64.3598615916955,52.6,4.4,57.0,Atenção,indicadores_assistenciais,0
SIMULADO,2000112,9000048,USF 017,eSF 017,Distrito Sanitário III,0.713,71.3,3304,69.6,79.2,74.0,36.7,60.5,64.6,82.6,80.2,59.673814969435405,72.89719626168224,65.74394463667821,63.5,-0.6,63.0,Atenção,indicadores_assistenciais,1
SIMULADO,2000119,9000051,USF 018,eSF 018,Distrito Sanitário V,0.594,58.1,4299,87.8,98.6,84.8,50.4,78.3,74.8,75.4,72.1,77.15546727986936,61.68224299065421,51.730103806228364,69.0,4.5,73.5,Atenção,satisfacao_usuarios,1
SIMULADO,2000126,9000054,USF 019,eSF 019,Distrito Sanitário IV,0.759,78.6,3587,54.0,35.8,45.1,45.8,33.8,54.0,54.0,78.0,36.74325695262485,28.348909657320874,61.93771626297577,40.1,-2.8,37.3,Crítico,autoavaliacao_equipes,0
SIMULADO,2000133,9000057,USF 020,eSF 020,Distrito Sanitário VIII,0.676,78.8,4796,31.3,51.2,46.5,39.6,21.0,41.6,63.0,70.5,30.226962307059384,42.36760124610592,48.96193771626297,36.4,-0.5,35.9,Crítico,indicadores_assistenciais,0
SIMULADO,2000140,9000060,USF 021,eSF 021,Distrito Sanitário III,0.663,67.1,3859,19.6,40.9,40.2,36.2,14.9,30.9,54.5,62.6,20.69117496982399,29.127725856697822,35.29411764705882,25.3,1.4,26.7,Crítico,indicadores_assistenciais,0
SIMULADO,2000147,9000063,USF 022,eSF 022,Distrito Sanitário V,0.619,67.0,2970,61.6,59.2,32.2,29.2,23.6,42.4,53.5,80.5,34.66603851413852,27.57009345794393,66.2629757785467,39.6,2.6,42.2,Crítico,autoavaliacao_equipes,0
SIMULADO,2000154,9000066,USF 023,eSF 023,Distrito Sanitário I,0.79,62.6,4215,87.6,77.2,75.8,67.0,44.1,84.9,79.0,79.7,69.89254326033922,67.28971962616822,64.87889273356402,68.4,-1.6,66.8,Atenção,satisfacao_usuarios,1
SIMULADO,2000161,9000069,USF 024,eSF 024,Distrito Sanitário VII,0.666,66.2,3260,61.8,77.0,49.8,84.5,60.6,73.5,79.0,77.3,63.940775750668216,67.28971962616822,60.726643598615915,64.0,1.4,65.4,Atenção,satisfacao_usuarios,1
SIMULADO,2000168,9000072,USF 025,eSF 025,Distrito Sanitário IV,0.641,57.4,3588,48.9,90.6,51.4,67.7,67.2,59.5,72.8,70.2,60.06612960602529,57.63239875389408,48.44290657439447,57.3,3.3,60.5,Atenção,satisfacao_usuarios,0
SIMULADO,2000175,9000075,USF 026,eSF 026,Distrito Sanitário III,0.648,55.1,2555,45.1,49.1,50.8,37.4,31.5,37.7,57.3,68.4,33.92565236182247,33.48909657320872,45.3287197231834,36.1,3.4,39.5,Crítico,autoavaliacao_equipes,0
SIMULADO,2000182,9000078,USF 027,eSF 027,Distrito Sanitário V,0.728,65.8,2510,44.1,44.9,36.4,21.6,0.0,14.6,46.4,62.3,17.821792586732645,16.51090342679128,34.77508650519031,21.0,-0.3,20.7,Crítico,autoavaliacao_equipes,0
SIMULADO,2000189,9000081,USF 028,eSF 028,Distrito Sanitário IV,0.713,68.6,3694,85.2,71.7,75.9,54.6,52.7,67.3,81.5,74.9,63.96382678233706,71.18380062305296,56.57439446366783,63.9,-0.2,63.7,Atenção,satisfacao_usuarios,1
SIMULADO,2000196,9000084,USF 029,eSF 029,Distrito Sanitário VII,0.717,79.0,2685,65.2,67.2,49.6,29.2,45.8,37.9,59.7,64.9,43.01800616430719,37.22741433021808,39.27335640138409,41.1,-1.7,39.4,Crítico,autoavaliacao_equipes,0
SIMULADO,2000203,9000087,USF 030,eSF 030,Distrito Sanitário V,0.719,61.3,4793,69.4,79.7,53.2,67.4,83.4,76.9,71.1,78.8,68.03403565968772,54.98442367601245,63.32179930795847,64.5,0.6,65.1,Atenção,autoavaliacao_equipes,1
SIMULADO,2000210,9000090,USF 031,eSF 031,Distrito Sanitário V,0.873,87.5,4424,73.8,93.2,72.6,83.1,54.4,80.0,80.1,80.7,73.93755121154061,69.0031152647975,66.60899653979239,71.5,-7.2,64.3,Atenção,satisfacao_usuarios,1
SIMULADO,2000217,9000093,USF 032,eSF 032,Distrito Sanitário I,0.643,60.5,4022,65.8,82.4,59.3,40.6,48.9,86.3,77.0,63.9,60.07425423278361,64.17445482866044,37.5432525951557,56.4,2.8,59.2,Atenção,satisfacao_usuarios,0
SIMULADO,2000224,9000096,USF 033,eSF 033,Distrito Sanitário I,0.634,60.8,4110,71.0,95.0,67.3,58.5,80.0,58.6,66.3,67.0,68.60444369676922,47.50778816199377,42.90657439446367,59.2,3.0,62.3,Atenção,satisfacao_usuarios,0
SIMULADO,2000231,9000099,USF 034,eSF 034,Distrito Sanitário IV,0.607,68.7,3747,55.3,74.7,70.2,44.8,57.8,60.4,62.0,79.3,55.26230980700046,40.80996884735203,64.18685121107266,54.2,2.7,56.9,Atenção,autoavaliacao_equipes,0
SIMULADO,2000238,9000102,USF 035,eSF 035,Distrito Sanitário VIII,0.735,77.8,2356,95.3,86.5,63.4,56.2,68.4,89.4,61.9,57.6,74.51145963906299,40.654205607476634,26.643598615916954,58.2,-2.0,56.1,Atenção,satisfacao_usuarios,0
SIMULADO,2000245,9000105,USF 036,eSF 036,Distrito Sanitário VIII,0.782,88.9,3220,77.2,55.7,55.7,51.4,48.1,67.7,65.0,72.0,53.94650353572987,45.48286604361371,51.55709342560554,51.8,-4.8,47.0,Crítico,autoavaliacao_equipes,1
SIMULADO,2000252,9000108,USF 037,eSF 037,Distrito Sanitário VI,0.67,65.7,3489,73.6,68.0,44.0,31.9,53.3,51.1,60.3,68.8,48.25930849124942,38.161993769470406,46.020761245674734,45.8,1.4,47.2,Crítico,autoavaliacao_equipes,0
SIMULADO,2000259,9000111,USF 038,eSF 038,Distrito Sanitário VI,0.604,54.9,4579,55.7,79.7,62.3,62.9,60.8,63.2,68.1,85.0,59.52351188194337,50.31152647975077,74.0484429065744,60.6,4.6,65.2,Atenção,autoavaliacao_equipes,1
SIMULADO,2000266,9000114,USF 039,eSF 039,Distrito Sanitário IV,0.606,58.8,2770,82.2,87.8,66.2,73.1,52.4,69.7,81.6,75.0,69.24361014725055,71.33956386292834,56.74740484429065,67.2,4.1,71.2,Atenção,satisfacao_usuarios,1
SIMULADO,2000273,9000117,USF 040,eSF 040,Distrito Sanitário II,0.739,75.8,3491,68.4,70.4,46.4,50.9,59.0,60.9,62.7,77.3,54.41757600607759,41.900311526479754,60.726643598615915,53.2,-1.9,51.3,Atenção,autoavaliacao_equipes,0
SIMULADO,2000280,9000120,USF 041,eSF 041,Distrito Sanitário I,0.747,76.1,3094,79.6,89.5,65.1,40.6,47.8,63.9,77.9,75.3,61.115260203394605,65.57632398753896,57.26643598615916,61.2,-2.2,59.1,Atenção,satisfacao_usuarios,1
SIMULADO,2000287,9000123,USF 042,eSF 042,Distrito Sanitário III,0.729,64.2,2549,75.9,74.2,53.9,44.4,54.5,58.5,66.2,73.7,55.71348817174709,47.35202492211839,54.498269896193776,53.8,-0.1,53.7,Atenção,autoavaliacao_equipes,0
SIMULADO,2000294,9000126,USF 043,eSF 043,Distrito Sanitário III,0.62,62.7,2467,67.5,78.2,50.7,65.6,50.6,40.6,72.7,78.4,54.18898414646503,57.476635514018696,62.629757785467135,56.5,3.2,59.7,Atenção,indicadores_assistenciais,1
SIMULADO,2000301,9000129,USF 044,eSF 044,Distrito Sanitário II,0.701,71.9,3149,85.0,86.7,89.3,40.0,58.4,75.0,81.9,76.4,69.38627946265377,71.80685358255452,59.169550173010386,67.8,-0.3,67.5,Atenção,satisfacao_usuarios,1
SIMULADO,2000308,9000132,USF 045,eSF 045,Distrito Sanitário III,0.691,89.2,2414,44.1,41.1,29.1,25.5,24.9,38.3,45.9,68.2,25.082627895657463,15.732087227414333,44.982698961937714,27.2,-2.3,24.9,Crítico,autoavaliacao_equipes,0
SIMULADO,2000315,9000135,USF 046,eSF 046,Distrito Sanitário I,0.7,85.0,2374,51.2,57.3,37.7,26.9,28.6,41.5,56.5,57.3,33.229324854319636,32.24299065420561,26.124567474048433,31.6,-2.0,29.6,Crítico,satisfacao_usuarios,0
SIMULADO,2000322,9000138,USF 047,eSF 047,Distrito Sanitário V,0.758,69.0,3112,29.7,28.2,17.3,47.5,23.5,26.9,64.1,67.0,18.753210809541287,44.0809968847352,42.90657439446367,28.6,-1.5,27.1,Crítico,indicadores_assistenciais,0
SIMULADO,2000329,9000141,USF 048,eSF 048,Distrito Sanitário VIII,0.7,67.7,2725,34.1,43.2,16.1,17.7,17.0,39.5,50.3,65.3,18.815535522311553,22.585669781931465,39.96539792387542,23.8,0.3,24.1,Crítico,indicadores_assistenciais,0
SIMULADO,2000336,9000144,USF 049,eSF 049,Distrito Sanitário VI,0.741,62.4,3642,52.6,32.4,47.8,53.9,33.7,57.9,54.6,75.3,38.31655655361776,29.283489096573213,57.26643598615916,40.3,-0.2,40.1,Crítico,autoavaliacao_equipes,0
SIMULADO,2000343,9000147,USF 050,eSF 050,Distrito Sanitário IV,0.686,63.9,2245,63.1,67.2,61.0,73.3,66.9,64.4,82.1,94.7,61.082006759086255,72.11838006230529,90.83044982698962,69.2,1.2,70.4,Atenção,indicadores_assistenciais,1
SIMULADO,2000350,9000150,USF 051,eSF 051,Distrito Sanitário IV,0.706,73.1,2984,79.0,72.7,69.7,73.0,37.3,55.3,60.1,66.3,60.39066400484543,37.85046728971963,41.6955017301038,52.1,-0.6,51.5,Atenção,autoavaliacao_equipes,0
SIMULADO,2000357,9000153,USF 052,eSF 052,Distrito Sanitário III,0.737,83.3,3378,87.5,80.9,60.9,59.6,65.4,50.7,82.8,65.1,63.9519763344984,73.20872274143302,39.619377162629746,60.9,-2.8,58.1,Atenção,satisfacao_usuarios,1
SIMULADO,2000364,9000156,USF 053,eSF 053,Distrito Sanitário II,0.549,49.1,4704,88.8,71.4,81.6,70.6,49.9,60.6,85.8,72.1,66.77368592896391,77.88161993769471,51.730103806228364,66.0,6.9,72.9,Atenção,satisfacao_usuarios,1
SIMULADO,2000371,9000159,USF 054,eSF 054,Distrito Sanitário V,0.651,59.9,3849,85.2,82.8,75.8,58.5,64.0,73.1,84.7,88.3,70.22000419258426,76.16822429906543,79.75778546712802,73.3,2.7,76.0,Excelência,indicadores_assistenciais,1
SIMULADO,2000378,9000162,USF 055,eSF 055,Distrito Sanitário V,0.638,46.6,4489,76.0,81.1,55.4,66.5,43.2,71.2,69.8,77.0,62.147907257811,52.95950155763239,60.207612456747405,59.9,4.8,64.7,Atenção,autoavaliacao_equipes,0
SIMULADO,2000385,9000165,USF 056,eSF 056,Distrito Sanitário I,0.623,60.9,3092,81.9,84.1,73.4,65.3,83.7,71.2,81.0,83.7,73.6012824501328,70.40498442367601,71.79930795847751,72.6,3.3,75.9,Excelência,autoavaliacao_equipes,1
SIMULADO,2000392,9000168,USF 057,eSF 057,Distrito Sanitário IV,0.655,57.0,3369,67.5,91.8,58.0,51.1,56.6,68.1,75.3,65.4,62.13703203697134,61.52647975077882,40.13840830449828,57.6,2.9,60.6,Atenção,satisfacao_usuarios,0
SIMULADO,2000399,9000171,USF 058,eSF 058,Distrito Sanitário III,0.815,77.2,3292,47.9,65.3,70.0,50.1,44.0,49.3,61.4,75.9,48.07340430856445,39.875389408099686,58.3044982698962,48.5,-4.2,44.3,Crítico,autoavaliacao_equipes,0
SIMULADO,2000406,9000174,USF 059,eSF 059,Distrito Sanitário II,0.602,53.2,4507,57.7,63.8,21.1,28.8,46.6,52.3,64.6,59.2,38.71309487745927,44.85981308411214,29.411764705882355,38.1,4.9,43.0,Crítico,satisfacao_usuarios,0
SIMULADO,2000413,9000177,USF 060,eSF 060,Distrito Sanitário VI,0.767,76.0,4693,48.5,68.7,18.8,41.8,12.6,42.5,63.1,74.0,32.40583924920818,42.52336448598131,55.017301038062286,39.0,-2.7,36.3,Crítico,indicadores_assistenciais,0
SIMULADO,2000420,9000180,USF 061,eSF 061,Distrito Sanitário V,0.529,38.8,4702,33.7,54.3,33.3,48.3,33.7,51.7,55.0,88.9,34.863937675115785,29.90654205607477,80.79584775086505,43.1,8.9,51.9,Atenção,autoavaliacao_equipes,0
SIMULADO,2000427,9000183,USF 062,eSF 062,Distrito Sanitário VI,0.65,53.2,4155,58.4,56.6,51.6,53.5,68.1,49.4,61.8,74.1,49.8170998924949,40.49844236760124,55.19031141868511,49.0,3.6,52.6,Atenção,autoavaliacao_equipes,0
SIMULADO,2000434,9000186,USF 063,eSF 063,Distrito Sanitário VI,0.695,86.5,3508,76.2,82.5,77.0,51.8,65.9,56.8,69.8,84.5,64.48433404111992,52.95950155763239,73.1833910034602,63.9,-2.1,61.8,Atenção,autoavaliacao_equipes,1
SIMULADO,2000441,9000189,USF 064,eSF 064,Distrito Sanitário VIII,0.733,63.0,3606,100.0,97.6,89.0,81.6,79.6,73.1,80.3,82.8,85.74253612624572,69.31464174454828,70.24221453287196,79.4,-0.0,79.3,Excelência,autoavaliacao_equipes,1
SIMULADO,2000448,9000192,USF 065,eSF 065,Distrito Sanitário VII,0.744,65.6,4749,57.3,42.8,36.7,47.7,41.8,38.9,44.8,50.7,36.464631390425865,14.018691588785046,14.705882352941178,27.6,-0.7,27.0,Crítico,autoavaliacao_equipes,0
SIMULADO,2000455,9000195,USF 066,eSF 066,Distrito Sanitário V,0.751,89.8,2939,73.6,77.8,77.1,45.3,70.7,56.6,80.2,72.8,62.4465225713337,69.1588785046729,52.941176470588225,61.9,-4.1,57.8,Atenção,satisfacao_usuarios,1
SIMULADO,2000462,9000198,USF 067,eSF 067,Distrito Sanitário VIII,0.649,88.1,3101,51.8,49.3,53.0,29.6,15.2,49.6,72.0,57.6,33.84637800421025,56.38629283489097,26.643598615916954,36.9,-1.0,35.9,Crítico,satisfacao_usuarios,0
SIMULADO,2000469,9000201,USF 068,eSF 068,Distrito Sanitário IV,0.638,54.5,4532,70.6,84.8,64.7,70.9,39.4,61.3,84.0,65.3,61.72953149551491,75.0778816199377,39.96539792387542,60.0,3.7,63.8,Atenção,satisfacao_usuarios,1
SIMULADO,2000476,9000204,USF 069,eSF 069,Distrito Sanitário VIII,0.757,72.8,3204,64.4,73.2,69.4,60.8,56.2,87.0,58.6,87.8,64.37051685074346,35.51401869158879,78.89273356401384,61.5,-2.0,59.5,Atenção,autoavaliacao_equipes,1
SIMULADO,2000483,9000207,USF 070,eSF 070,Distrito Sanitário VII,0.663,69.0,2811,28.0,42.9,34.3,34.7,18.6,16.9,56.9,63.2,19.597692458899903,32.86604361370716,36.332179930795846,25.6,1.1,26.7,Crítico,indicadores_assistenciais,0
SIMULADO,2000490,9000210,USF 071,eSF 071,Distrito Sanitário VI,0.565,70.3,3657,72.1,79.1,60.0,84.6,75.3,71.7,87.3,82.2,70.39166936736292,80.21806853582554,69.20415224913495,72.1,3.7,75.8,Excelência,satisfacao_usuarios,1
SIMULADO,2000497,9000213,USF 072,eSF 072,Distrito Sanitário VIII,0.578,49.9,3045,45.2,61.1,52.7,49.0,36.7,37.0,59.3,66.1,39.90023108528718,36.60436137071651,41.349480968858124,39.5,6.0,45.6,Crítico,autoavaliacao_equipes,0
SIMULADO,2000504,9000216,USF 073,eSF 073,Distrito Sanitário V,0.597,57.8,4516,41.9,66.3,48.1,52.8,20.9,45.3,64.2,67.9,39.29167500776776,44.2367601246106,44.46366782006921,41.3,4.4,45.8,Crítico,indicadores_assistenciais,0
SIMULADO,2000511,9000219,USF 074,eSF 074,Distrito Sanitário VI,0.725,78.7,4563,57.1,49.7,44.5,72.0,25.8,49.5,46.2,74.8,43.10755230778076,16.199376947040506,56.40138408304498,40.4,-1.9,38.5,Crítico,autoavaliacao_equipes,0
SIMULADO,2000518,9000222,USF 075,eSF 075,Distrito Sanitário III,0.693,72.8,2995,60.4,53.8,65.0,45.8,14.2,28.5,65.7,69.4,37.46100305690336,46.57320872274144,47.05882352941177,41.2,-0.2,41.0,Crítico,indicadores_assistenciais,0
SIMULADO,2000525,9000225,USF 076,eSF 076,Distrito Sanitário VIII,0.742,71.2,3576,55.8,89.9,39.6,56.8,58.6,72.1,67.8,82.0,58.334043089180646,49.84423676012461,68.85813148788927,58.7,-1.4,57.4,Atenção,autoavaliacao_equipes,1
SIMULADO,2000532,9000228,USF 077,eSF 077,Distrito Sanitário V,0.642,63.1,4758,59.8,63.8,38.1,57.0,46.4,76.7,69.0,70.7,51.73085741435917,51.71339563862929,49.30795847750865,51.2,2.5,53.7,Atenção,satisfacao_usuarios,0
SIMULADO,2000539,9000231,USF 078,eSF 078,Distrito Sanitário VII,0.694,58.4,4130,80.3,64.3,50.0,66.5,53.3,61.7,62.6,73.8,58.118653766505666,41.74454828660436,54.6712802768166,54.2,1.7,55.8,Atenção,autoavaliacao_equipes,0
SIMULADO,2000546,9000234,USF 079,eSF 079,Distrito Sanitário IV,0.736,71.7,2760,83.1,82.9,61.1,58.5,71.7,71.2,78.3,66.0,68.27810613278047,66.1993769470405,41.17647058823529,62.4,-1.3,61.2,Atenção,satisfacao_usuarios,1
SIMULADO,2000553,9000237,USF 080,eSF 080,Distrito Sanitário VII,0.652,63.1,3735,92.8,93.1,72.3,63.2,83.0,89.1,89.7,67.1,80.664293446381,83.95638629283489,43.079584775086495,73.8,2.2,76.0,Excelência,satisfacao_usuarios,1
SIMULADO,2000560,9000240,USF 081,eSF 081,Distrito Sanitário I,0.721,74.0,3811,62.4,55.0,38.2,77.8,47.7,56.3,61.9,70.1,50.385036852773034,40.654205607476634,48.269896193771615,48.0,-1.1,46.9,Crítico,autoavaliacao_equipes,0
SIMULADO,2000567,9000243,USF 082,eSF 082,Distrito Sanitário I,0.62,57.6,3898,33.7,50.6,23.9,37.0,6.5,32.1,46.7,63.5,22.12012850623816,16.978193146417453,36.851211072664356,24.0,3.8,27.9,Crítico,autoavaliacao_equipes,0
SIMULADO,2000574,9000246,USF 083,eSF 083,Distrito Sanitário V,0.647,68.5,2265,68.0,91.8,62.0,62.6,73.0,51.3,64.9,70.8,64.55158805246423,45.32710280373833,49.48096885813148,57.7,1.6,59.3,Atenção,autoavaliacao_equipes,0
SIMULADO,2000581,9000249,USF 084,eSF 084,Distrito Sanitário VI,0.646,72.7,2978,62.6,69.0,78.3,60.3,52.7,61.8,64.4,71.0,59.049063701921746,44.54828660436138,49.82698961937716,54.3,1.1,55.4,Atenção,autoavaliacao_equipes,0
SIMULADO,2000588,9000252,USF 085,eSF 085,Distrito Sanitário VII,0.572,58.5,4421,80.3,88.6,88.5,66.8,67.3,71.3,75.2,81.0,74.39283335494937,61.370716510903435,67.1280276816609,70.3,5.0,75.4,Excelência,autoavaliacao_equipes,1
SIMULADO,2000595,9000255,USF 086,eSF 086,Distrito Sanitário IV,0.724,75.2,2827,85.2,66.4,60.3,61.1,70.4,57.8,63.7,60.0,62.46417842648221,43.45794392523365,30.795847750865047,52.3,-1.4,50.9,Atenção,satisfacao_usuarios,0
SIMULADO,2000602,9000258,USF 087,eSF 087,Distrito Sanitário VI,0.638,64.2,2979,72.7,71.1,50.2,59.1,36.5,59.0,71.3,65.3,53.49163664382568,55.295950155763244,39.96539792387542,51.1,2.5,53.6,Atenção,satisfacao_usuarios,0
SIMULADO,2000609,9000261,USF 088,eSF 088,Distrito Sanitário V,0.681,68.1,3038,68.8,73.9,50.2,48.0,79.4,60.1,70.4,79.8,58.66565343781656,53.89408099688474,65.05190311418684,59.0,0.7,59.7,Atenção,autoavaliacao_equipes,1
SIMULADO,2000616,9000264,USF 089,eSF 089,Distrito Sanitário VIII,0.723,66.6,2661,81.8,96.5,66.1,89.4,71.3,84.8,82.4,91.3,80.15540812863783,72.58566978193147,84.94809688581314,79.6,-0.2,79.4,Excelência,autoavaliacao_equipes,1
SIMULADO,2000623,9000267,USF 090,eSF 090,Distrito Sanitário VI,0.72,74.6,2604,92.7,100.0,87.1,100.0,91.5,98.1,87.2,79.8,94.55724599757,80.06230529595017,65.05190311418684,85.8,-1.2,84.6,Excelência,satisfacao_usuarios,1
SIMULADO,2000630,9000270,USF 091,eSF 091,Distrito Sanitário IV,0.74,73.2,3102,70.7,88.1,50.2,64.9,37.8,50.7,79.2,76.5,56.723086399430365,67.60124610591902,59.34256055363322,59.4,-1.6,57.9,Atenção,indicadores_assistenciais,1
SIMULADO,2000637,9000273,USF 092,eSF 092,Distrito Sanitário VIII,0.671,83.9,4473,65.0,89.4,58.6,54.6,44.5,73.9,75.7,83.2,60.885026689111776,62.149532710280376,70.93425605536332,63.1,-1.1,62.1,Atenção,indicadores_assistenciais,1
SIMULADO,2000644,9000276,USF 093,eSF 093,Distrito Sanitário I,0.642,76.8,2203,72.9,96.8,53.9,64.9,82.6,60.3,79.1,87.3,69.10491215436458,67.4454828660436,78.02768166089965,70.6,0.7,71.2,Atenção,autoavaliacao_equipes,1
SIMULADO,2000651,9000279,USF 094,eSF 094,Distrito Sanitário VIII,0.673,70.4,2936,55.6,58.6,37.3,40.2,37.7,42.2,66.0,67.3,38.453899560825725,47.0404984423676,43.42560553633217,41.2,0.7,41.8,Crítico,indicadores_assistenciais,0
SIMULADO,2000658,9000282,USF 095,eSF 095,Distrito Sanitário II,0.528,46.7,2357,58.7,73.4,57.9,52.6,60.4,79.6,62.8,70.8,59.11516046779864,42.05607476635514,49.48096885813148,53.8,7.8,61.6,Atenção,autoavaliacao_equipes,0
SIMULADO,2000665,9000285,USF 096,eSF 096,Distrito Sanitário III,0.55,46.1,3659,53.3,72.9,56.1,47.1,49.7,67.3,68.0,67.3,52.457192710267414,50.1557632398754,43.42560553633217,50.2,7.3,57.5,Atenção,satisfacao_usuarios,0
SIMULADO,2000672,9000288,USF 097,eSF 097,Distrito Sanitário VII,0.561,65.6,2851,67.9,72.4,61.8,65.9,51.2,61.8,72.3,78.6,58.956484491885185,56.85358255451713,62.97577854671279,59.3,4.4,63.8,Atenção,autoavaliacao_equipes,1
SIMULADO,2000679,9000291,USF 098,eSF 098,Distrito Sanitário VI,0.59,61.1,4259,45.9,57.6,28.1,23.2,52.2,36.2,57.2,68.7,32.8505177686705,33.33333333333334,45.84775086505191,35.5,4.2,39.7,Crítico,indicadores_assistenciais,0
SIMULADO,2000686,9000294,USF 099,eSF 099,Distrito Sanitário VIII,0.716,75.4,3721,46.8,58.1,46.1,44.9,29.3,34.9,58.1,68.4,36.05401118309683,34.73520249221184,45.3287197231834,37.6,-1.2,36.4,Crítico,autoavaliacao_equipes,0
