unidade,distrito,indicador,prioridade,acao,motivo
USF 021,Distrito Sanitário III,Cobertura de pré-natal,alta,"Priorizar busca ativa de gestantes no território da unidade, com apoio dos agentes comunitários de saúde.","Cobertura de pré-natal em 20%, 36 pontos abaixo da mediana das unidades de contexto semelhante (56%)."
USF 021,Distrito Sanitário III,Atendimentos de saúde bucal,alta,Verificar disponibilidade de equipe de saúde bucal e reprogramar a agenda da unidade.,"Atendimentos de saúde bucal em 15%, 26 pontos abaixo da mediana das unidades de contexto semelhante (41%)."
USF 022,Distrito Sanitário V,Acompanhamento de diabéticos,alta,Revisar o cadastro de diabéticos e organizar grupo de acompanhamento no território.,"Acompanhamento de diabéticos em 29%, 18 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 022,Distrito Sanitário V,Atendimentos de saúde bucal,alta,Verificar disponibilidade de equipe de saúde bucal e reprogramar a agenda da unidade.,"Atendimentos de saúde bucal em 24%, 17 pontos abaixo da mediana das unidades de contexto semelhante (41%)."
USF 023,Distrito Sanitário I,Atendimentos de saúde bucal,alta,Verificar disponibilidade de equipe de saúde bucal e reprogramar a agenda da unidade.,"Atendimentos de saúde bucal em 44%, 21 pontos abaixo da mediana das unidades de contexto semelhante (65%)."
USF 024,Distrito Sanitário VII,Acompanhamento de hipertensos,alta,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 50%, 19 pontos abaixo da mediana das unidades de contexto semelhante (69%)."
USF 027,Distrito Sanitário V,Atendimentos de saúde bucal,alta,Verificar disponibilidade de equipe de saúde bucal e reprogramar a agenda da unidade.,"Atendimentos de saúde bucal em 0%, 41 pontos abaixo da mediana das unidades de contexto semelhante (41%)."
USF 027,Distrito Sanitário V,Coleta de citopatológico,alta,Organizar mutirão de coleta e busca ativa das mulheres com exame em atraso.,"Coleta de citopatológico em 15%, 37 pontos abaixo da mediana das unidades de contexto semelhante (51%)."
USF 029,Distrito Sanitário VII,Acompanhamento de diabéticos,alta,Revisar o cadastro de diabéticos e organizar grupo de acompanhamento no território.,"Acompanhamento de diabéticos em 29%, 18 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 030,Distrito Sanitário V,Acompanhamento de hipertensos,alta,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 53%, 16 pontos abaixo da mediana das unidades de contexto semelhante (69%)."
USF 036,Distrito Sanitário VIII,Vacinação infantil,alta,Organizar campanha de atualização vacinal e revisar as faltas no calendário das crianças cadastradas.,"Vacinação infantil em 56%, 25 pontos abaixo da mediana das unidades de contexto semelhante (81%)."
USF 036,Distrito Sanitário VIII,Atendimentos de saúde bucal,alta,Verificar disponibilidade de equipe de saúde bucal e reprogramar a agenda da unidade.,"Atendimentos de saúde bucal em 48%, 17 pontos abaixo da mediana das unidades de contexto semelhante (65%)."
USF 037,Distrito Sanitário VI,Acompanhamento de diabéticos,alta,Revisar o cadastro de diabéticos e organizar grupo de acompanhamento no território.,"Acompanhamento de diabéticos em 32%, 16 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 038,Distrito Sanitário VI,Cobertura de pré-natal,alta,"Priorizar busca ativa de gestantes no território da unidade, com apoio dos agentes comunitários de saúde.","Cobertura de pré-natal em 56%, 21 pontos abaixo da mediana das unidades de contexto semelhante (77%)."
USF 041,Distrito Sanitário I,Acompanhamento de diabéticos,alta,Revisar o cadastro de diabéticos e organizar grupo de acompanhamento no território.,"Acompanhamento de diabéticos em 41%, 26 pontos abaixo da mediana das unidades de contexto semelhante (67%)."
USF 041,Distrito Sanitário I,Atendimentos de saúde bucal,alta,Verificar disponibilidade de equipe de saúde bucal e reprogramar a agenda da unidade.,"Atendimentos de saúde bucal em 48%, 17 pontos abaixo da mediana das unidades de contexto semelhante (65%)."
USF 043,Distrito Sanitário III,Coleta de citopatológico,alta,Organizar mutirão de coleta e busca ativa das mulheres com exame em atraso.,"Coleta de citopatológico em 41%, 31 pontos abaixo da mediana das unidades de contexto semelhante (71%)."
USF 043,Distrito Sanitário III,Acompanhamento de hipertensos,alta,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 51%, 18 pontos abaixo da mediana das unidades de contexto semelhante (69%)."
USF 044,Distrito Sanitário II,Acompanhamento de diabéticos,alta,Revisar o cadastro de diabéticos e organizar grupo de acompanhamento no território.,"Acompanhamento de diabéticos em 40%, 27 pontos abaixo da mediana das unidades de contexto semelhante (67%)."
USF 045,Distrito Sanitário III,Vacinação infantil,alta,Organizar campanha de atualização vacinal e revisar as faltas no calendário das crianças cadastradas.,"Vacinação infantil em 41%, 23 pontos abaixo da mediana das unidades de contexto semelhante (64%)."
USF 045,Distrito Sanitário III,Acompanhamento de diabéticos,alta,Revisar o cadastro de diabéticos e organizar grupo de acompanhamento no território.,"Acompanhamento de diabéticos em 26%, 22 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 046,Distrito Sanitário I,Acompanhamento de diabéticos,alta,Revisar o cadastro de diabéticos e organizar grupo de acompanhamento no território.,"Acompanhamento de diabéticos em 27%, 21 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 047,Distrito Sanitário V,Vacinação infantil,alta,Organizar campanha de atualização vacinal e revisar as faltas no calendário das crianças cadastradas.,"Vacinação infantil em 28%, 36 pontos abaixo da mediana das unidades de contexto semelhante (64%)."
USF 047,Distrito Sanitário V,Acompanhamento de hipertensos,alta,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 17%, 31 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 048,Distrito Sanitário VIII,Acompanhamento de hipertensos,alta,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 16%, 32 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 048,Distrito Sanitário VIII,Acompanhamento de diabéticos,alta,Revisar o cadastro de diabéticos e organizar grupo de acompanhamento no território.,"Acompanhamento de diabéticos em 18%, 30 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 049,Distrito Sanitário VI,Vacinação infantil,alta,Organizar campanha de atualização vacinal e revisar as faltas no calendário das crianças cadastradas.,"Vacinação infantil em 32%, 31 pontos abaixo da mediana das unidades de contexto semelhante (64%)."
USF 052,Distrito Sanitário III,Coleta de citopatológico,alta,Organizar mutirão de coleta e busca ativa das mulheres com exame em atraso.,"Coleta de citopatológico em 51%, 20 pontos abaixo da mediana das unidades de contexto semelhante (71%)."
USF 053,Distrito Sanitário II,Atendimentos de saúde bucal,alta,Verificar disponibilidade de equipe de saúde bucal e reprogramar a agenda da unidade.,"Atendimentos de saúde bucal em 50%, 15 pontos abaixo da mediana das unidades de contexto semelhante (65%)."
USF 059,Distrito Sanitário II,Acompanhamento de hipertensos,alta,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 21%, 27 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 059,Distrito Sanitário II,Acompanhamento de diabéticos,alta,Revisar o cadastro de diabéticos e organizar grupo de acompanhamento no território.,"Acompanhamento de diabéticos em 29%, 19 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 060,Distrito Sanitário VI,Acompanhamento de hipertensos,alta,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 19%, 29 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 060,Distrito Sanitário VI,Atendimentos de saúde bucal,alta,Verificar disponibilidade de equipe de saúde bucal e reprogramar a agenda da unidade.,"Atendimentos de saúde bucal em 13%, 28 pontos abaixo da mediana das unidades de contexto semelhante (41%)."
USF 061,Distrito Sanitário V,Cobertura de pré-natal,alta,"Priorizar busca ativa de gestantes no território da unidade, com apoio dos agentes comunitários de saúde.","Cobertura de pré-natal em 34%, 22 pontos abaixo da mediana das unidades de contexto semelhante (56%)."
USF 063,Distrito Sanitário VI,Acompanhamento de diabéticos,alta,Revisar o cadastro de diabéticos e organizar grupo de acompanhamento no território.,"Acompanhamento de diabéticos em 52%, 15 pontos abaixo da mediana das unidades de contexto semelhante (67%)."
USF 065,Distrito Sanitário VII,Vacinação infantil,alta,Organizar campanha de atualização vacinal e revisar as faltas no calendário das crianças cadastradas.,"Vacinação infantil em 43%, 21 pontos abaixo da mediana das unidades de contexto semelhante (64%)."
USF 066,Distrito Sanitário V,Acompanhamento de diabéticos,alta,Revisar o cadastro de diabéticos e organizar grupo de acompanhamento no território.,"Acompanhamento de diabéticos em 45%, 22 pontos abaixo da mediana das unidades de contexto semelhante (67%)."
USF 067,Distrito Sanitário VIII,Atendimentos de saúde bucal,alta,Verificar disponibilidade de equipe de saúde bucal e reprogramar a agenda da unidade.,"Atendimentos de saúde bucal em 15%, 26 pontos abaixo da mediana das unidades de contexto semelhante (41%)."
USF 067,Distrito Sanitário VIII,Acompanhamento de diabéticos,alta,Revisar o cadastro de diabéticos e organizar grupo de acompanhamento no território.,"Acompanhamento de diabéticos em 30%, 18 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 068,Distrito Sanitário IV,Atendimentos de saúde bucal,alta,Verificar disponibilidade de equipe de saúde bucal e reprogramar a agenda da unidade.,"Atendimentos de saúde bucal em 39%, 26 pontos abaixo da mediana das unidades de contexto semelhante (65%)."
USF 070,Distrito Sanitário VII,Coleta de citopatológico,alta,Organizar mutirão de coleta e busca ativa das mulheres com exame em atraso.,"Coleta de citopatológico em 17%, 34 pontos abaixo da mediana das unidades de contexto semelhante (51%)."
USF 070,Distrito Sanitário VII,Cobertura de pré-natal,alta,"Priorizar busca ativa de gestantes no território da unidade, com apoio dos agentes comunitários de saúde.","Cobertura de pré-natal em 28%, 28 pontos abaixo da mediana das unidades de contexto semelhante (56%)."
USF 073,Distrito Sanitário V,Atendimentos de saúde bucal,alta,Verificar disponibilidade de equipe de saúde bucal e reprogramar a agenda da unidade.,"Atendimentos de saúde bucal em 21%, 20 pontos abaixo da mediana das unidades de contexto semelhante (41%)."
USF 074,Distrito Sanitário VI,Atendimentos de saúde bucal,alta,Verificar disponibilidade de equipe de saúde bucal e reprogramar a agenda da unidade.,"Atendimentos de saúde bucal em 26%, 15 pontos abaixo da mediana das unidades de contexto semelhante (41%)."
USF 075,Distrito Sanitário III,Atendimentos de saúde bucal,alta,Verificar disponibilidade de equipe de saúde bucal e reprogramar a agenda da unidade.,"Atendimentos de saúde bucal em 14%, 27 pontos abaixo da mediana das unidades de contexto semelhante (41%)."
USF 075,Distrito Sanitário III,Coleta de citopatológico,alta,Organizar mutirão de coleta e busca ativa das mulheres com exame em atraso.,"Coleta de citopatológico em 28%, 23 pontos abaixo da mediana das unidades de contexto semelhante (51%)."
USF 076,Distrito Sanitário VIII,Acompanhamento de hipertensos,alta,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 40%, 29 pontos abaixo da mediana das unidades de contexto semelhante (69%)."
USF 076,Distrito Sanitário VIII,Cobertura de pré-natal,alta,"Priorizar busca ativa de gestantes no território da unidade, com apoio dos agentes comunitários de saúde.","Cobertura de pré-natal em 56%, 21 pontos abaixo da mediana das unidades de contexto semelhante (77%)."
USF 082,Distrito Sanitário I,Atendimentos de saúde bucal,alta,Verificar disponibilidade de equipe de saúde bucal e reprogramar a agenda da unidade.,"Atendimentos de saúde bucal em 6%, 34 pontos abaixo da mediana das unidades de contexto semelhante (41%)."
USF 082,Distrito Sanitário I,Acompanhamento de hipertensos,alta,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 24%, 24 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 088,Distrito Sanitário V,Acompanhamento de diabéticos,alta,Revisar o cadastro de diabéticos e organizar grupo de acompanhamento no território.,"Acompanhamento de diabéticos em 48%, 19 pontos abaixo da mediana das unidades de contexto semelhante (67%)."
USF 088,Distrito Sanitário V,Acompanhamento de hipertensos,alta,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 50%, 19 pontos abaixo da mediana das unidades de contexto semelhante (69%)."
USF 091,Distrito Sanitário IV,Atendimentos de saúde bucal,alta,Verificar disponibilidade de equipe de saúde bucal e reprogramar a agenda da unidade.,"Atendimentos de saúde bucal em 38%, 27 pontos abaixo da mediana das unidades de contexto semelhante (65%)."
USF 091,Distrito Sanitário IV,Coleta de citopatológico,alta,Organizar mutirão de coleta e busca ativa das mulheres com exame em atraso.,"Coleta de citopatológico em 51%, 20 pontos abaixo da mediana das unidades de contexto semelhante (71%)."
USF 092,Distrito Sanitário VIII,Atendimentos de saúde bucal,alta,Verificar disponibilidade de equipe de saúde bucal e reprogramar a agenda da unidade.,"Atendimentos de saúde bucal em 44%, 20 pontos abaixo da mediana das unidades de contexto semelhante (65%)."
USF 093,Distrito Sanitário I,Acompanhamento de hipertensos,alta,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 54%, 15 pontos abaixo da mediana das unidades de contexto semelhante (69%)."
USF 098,Distrito Sanitário VI,Acompanhamento de diabéticos,alta,Revisar o cadastro de diabéticos e organizar grupo de acompanhamento no território.,"Acompanhamento de diabéticos em 23%, 24 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 098,Distrito Sanitário VI,Acompanhamento de hipertensos,alta,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 28%, 20 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 099,Distrito Sanitário VIII,Coleta de citopatológico,alta,Organizar mutirão de coleta e busca ativa das mulheres com exame em atraso.,"Coleta de citopatológico em 35%, 16 pontos abaixo da mediana das unidades de contexto semelhante (51%)."
USF 100,Distrito Sanitário VI,Atendimentos de saúde bucal,alta,Verificar disponibilidade de equipe de saúde bucal e reprogramar a agenda da unidade.,"Atendimentos de saúde bucal em 1%, 40 pontos abaixo da mediana das unidades de contexto semelhante (41%)."
USF 100,Distrito Sanitário VI,Acompanhamento de hipertensos,alta,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 17%, 31 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 101,Distrito Sanitário VI,Cobertura de pré-natal,alta,"Priorizar busca ativa de gestantes no território da unidade, com apoio dos agentes comunitários de saúde.","Cobertura de pré-natal em 37%, 19 pontos abaixo da mediana das unidades de contexto semelhante (56%)."
USF 101,Distrito Sanitário VI,Vacinação infantil,alta,Organizar campanha de atualização vacinal e revisar as faltas no calendário das crianças cadastradas.,"Vacinação infantil em 48%, 16 pontos abaixo da mediana das unidades de contexto semelhante (64%)."
USF 102,Distrito Sanitário III,Acompanhamento de diabéticos,alta,Revisar o cadastro de diabéticos e organizar grupo de acompanhamento no território.,"Acompanhamento de diabéticos em 43%, 24 pontos abaixo da mediana das unidades de contexto semelhante (67%)."
USF 102,Distrito Sanitário III,Cobertura de pré-natal,alta,"Priorizar busca ativa de gestantes no território da unidade, com apoio dos agentes comunitários de saúde.","Cobertura de pré-natal em 59%, 18 pontos abaixo da mediana das unidades de contexto semelhante (77%)."
USF 106,Distrito Sanitário I,Cobertura de pré-natal,alta,"Priorizar busca ativa de gestantes no território da unidade, com apoio dos agentes comunitários de saúde.","Cobertura de pré-natal em 32%, 24 pontos abaixo da mediana das unidades de contexto semelhante (56%)."
USF 106,Distrito Sanitário I,Acompanhamento de diabéticos,alta,Revisar o cadastro de diabéticos e organizar grupo de acompanhamento no território.,"Acompanhamento de diabéticos em 27%, 21 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 111,Distrito Sanitário VIII,Cobertura de pré-natal,alta,"Priorizar busca ativa de gestantes no território da unidade, com apoio dos agentes comunitários de saúde.","Cobertura de pré-natal em 49%, 28 pontos abaixo da mediana das unidades de contexto semelhante (77%)."
USF 114,Distrito Sanitário IV,Acompanhamento de hipertensos,alta,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 23%, 25 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 114,Distrito Sanitário IV,Cobertura de pré-natal,alta,"Priorizar busca ativa de gestantes no território da unidade, com apoio dos agentes comunitários de saúde.","Cobertura de pré-natal em 33%, 23 pontos abaixo da mediana das unidades de contexto semelhante (56%)."
USF 117,Distrito Sanitário II,Acompanhamento de diabéticos,alta,Revisar o cadastro de diabéticos e organizar grupo de acompanhamento no território.,"Acompanhamento de diabéticos em 30%, 17 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 120,Distrito Sanitário VII,Acompanhamento de diabéticos,alta,Revisar o cadastro de diabéticos e organizar grupo de acompanhamento no território.,"Acompanhamento de diabéticos em 46%, 21 pontos abaixo da mediana das unidades de contexto semelhante (67%)."
USF 120,Distrito Sanitário VII,Atendimentos de saúde bucal,alta,Verificar disponibilidade de equipe de saúde bucal e reprogramar a agenda da unidade.,"Atendimentos de saúde bucal em 47%, 18 pontos abaixo da mediana das unidades de contexto semelhante (65%)."
USF 123,Distrito Sanitário II,Atendimentos de saúde bucal,alta,Verificar disponibilidade de equipe de saúde bucal e reprogramar a agenda da unidade.,"Atendimentos de saúde bucal em 25%, 15 pontos abaixo da mediana das unidades de contexto semelhante (41%)."
USF 124,Distrito Sanitário V,Vacinação infantil,alta,Organizar campanha de atualização vacinal e revisar as faltas no calendário das crianças cadastradas.,"Vacinação infantil em 64%, 17 pontos abaixo da mediana das unidades de contexto semelhante (81%)."
USF 126,Distrito Sanitário VII,Vacinação infantil,alta,Organizar campanha de atualização vacinal e revisar as faltas no calendário das crianças cadastradas.,"Vacinação infantil em 63%, 18 pontos abaixo da mediana das unidades de contexto semelhante (81%)."
USF 128,Distrito Sanitário VIII,Atendimentos de saúde bucal,alta,Verificar disponibilidade de equipe de saúde bucal e reprogramar a agenda da unidade.,"Atendimentos de saúde bucal em 38%, 27 pontos abaixo da mediana das unidades de contexto semelhante (65%)."
USF 128,Distrito Sanitário VIII,Acompanhamento de diabéticos,alta,Revisar o cadastro de diabéticos e organizar grupo de acompanhamento no território.,"Acompanhamento de diabéticos em 52%, 15 pontos abaixo da mediana das unidades de contexto semelhante (67%)."
USF 133,Distrito Sanitário I,Acompanhamento de hipertensos,alta,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 19%, 29 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 133,Distrito Sanitário I,Coleta de citopatológico,alta,Organizar mutirão de coleta e busca ativa das mulheres com exame em atraso.,"Coleta de citopatológico em 30%, 21 pontos abaixo da mediana das unidades de contexto semelhante (51%)."
USF 134,Distrito Sanitário III,Acompanhamento de hipertensos,alta,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 33%, 36 pontos abaixo da mediana das unidades de contexto semelhante (69%)."
USF 134,Distrito Sanitário III,Coleta de citopatológico,alta,Organizar mutirão de coleta e busca ativa das mulheres com exame em atraso.,"Coleta de citopatológico em 49%, 22 pontos abaixo da mediana das unidades de contexto semelhante (71%)."
USF 135,Distrito Sanitário VIII,Acompanhamento de hipertensos,alta,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 0%, 48 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 135,Distrito Sanitário VIII,Acompanhamento de diabéticos,alta,Revisar o cadastro de diabéticos e organizar grupo de acompanhamento no território.,"Acompanhamento de diabéticos em 9%, 39 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 136,Distrito Sanitário I,Acompanhamento de hipertensos,alta,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 20%, 28 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 136,Distrito Sanitário I,Coleta de citopatológico,alta,Organizar mutirão de coleta e busca ativa das mulheres com exame em atraso.,"Coleta de citopatológico em 26%, 26 pontos abaixo da mediana das unidades de contexto semelhante (51%)."
USF 139,Distrito Sanitário VIII,Atendimentos de saúde bucal,alta,Verificar disponibilidade de equipe de saúde bucal e reprogramar a agenda da unidade.,"Atendimentos de saúde bucal em 32%, 33 pontos abaixo da mediana das unidades de contexto semelhante (65%)."
USF 139,Distrito Sanitário VIII,Acompanhamento de diabéticos,alta,Revisar o cadastro de diabéticos e organizar grupo de acompanhamento no território.,"Acompanhamento de diabéticos em 49%, 18 pontos abaixo da mediana das unidades de contexto semelhante (67%)."
USF 140,Distrito Sanitário VI,Atendimentos de saúde bucal,alta,Verificar disponibilidade de equipe de saúde bucal e reprogramar a agenda da unidade.,"Atendimentos de saúde bucal em 16%, 25 pontos abaixo da mediana das unidades de contexto semelhante (41%)."
USF 140,Distrito Sanitário VI,Cobertura de pré-natal,alta,"Priorizar busca ativa de gestantes no território da unidade, com apoio dos agentes comunitários de saúde.","Cobertura de pré-natal em 34%, 21 pontos abaixo da mediana das unidades de contexto semelhante (56%)."
USF 141,Distrito Sanitário VII,Cobertura de pré-natal,alta,"Priorizar busca ativa de gestantes no território da unidade, com apoio dos agentes comunitários de saúde.","Cobertura de pré-natal em 32%, 24 pontos abaixo da mediana das unidades de contexto semelhante (56%)."
USF 141,Distrito Sanitário VII,Acompanhamento de diabéticos,alta,Revisar o cadastro de diabéticos e organizar grupo de acompanhamento no território.,"Acompanhamento de diabéticos em 24%, 24 pontos abaixo da mediana das unidades de contexto semelhante (48%)."
USF 144,Distrito Sanitário VII,Atendimentos de saúde bucal,alta,Verificar disponibilidade de equipe de saúde bucal e reprogramar a agenda da unidade.,"Atendimentos de saúde bucal em 45%, 20 pontos abaixo da mediana das unidades de contexto semelhante (65%)."
USF 144,Distrito Sanitário VII,Coleta de citopatológico,alta,Organizar mutirão de coleta e busca ativa das mulheres com exame em atraso.,"Coleta de citopatológico em 55%, 16 pontos abaixo da mediana das unidades de contexto semelhante (71%)."
USF 147,Distrito Sanitário VI,Atendimentos de saúde bucal,alta,Verificar disponibilidade de equipe de saúde bucal e reprogramar a agenda da unidade.,"Atendimentos de saúde bucal em 21%, 20 pontos abaixo da mediana das unidades de contexto semelhante (41%)."
USF 149,Distrito Sanitário IV,Acompanhamento de hipertensos,alta,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 51%, 18 pontos abaixo da mediana das unidades de contexto semelhante (69%)."
USF 150,Distrito Sanitário VII,Acompanhamento de hipertensos,alta,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 44%, 25 pontos abaixo da mediana das unidades de contexto semelhante (69%)."
USF 150,Distrito Sanitário VII,Coleta de citopatológico,alta,Organizar mutirão de coleta e busca ativa das mulheres com exame em atraso.,"Coleta de citopatológico em 49%, 22 pontos abaixo da mediana das unidades de contexto semelhante (71%)."
USF 154,Distrito Sanitário II,Coleta de citopatológico,alta,Organizar mutirão de coleta e busca ativa das mulheres com exame em atraso.,"Coleta de citopatológico em 25%, 27 pontos abaixo da mediana das unidades de contexto semelhante (51%)."
USF 154,Distrito Sanitário II,Vacinação infantil,alta,Organizar campanha de atualização vacinal e revisar as faltas no calendário das crianças cadastradas.,"Vacinação infantil em 48%, 16 pontos abaixo da mediana das unidades de contexto semelhante (64%)."
USF 157,Distrito Sanitário II,Cobertura de pré-natal,alta,"Priorizar busca ativa de gestantes no território da unidade, com apoio dos agentes comunitários de saúde.","Cobertura de pré-natal em 32%, 23 pontos abaixo da mediana das unidades de contexto semelhante (56%)."
USF 157,Distrito Sanitário II,Atendimentos de saúde bucal,alta,Verificar disponibilidade de equipe de saúde bucal e reprogramar a agenda da unidade.,"Atendimentos de saúde bucal em 24%, 17 pontos abaixo da mediana das unidades de contexto semelhante (41%)."
USF 162,Distrito Sanitário V,Coleta de citopatológico,alta,Organizar mutirão de coleta e busca ativa das mulheres com exame em atraso.,"Coleta de citopatológico em 35%, 16 pontos abaixo da mediana das unidades de contexto semelhante (51%)."
USF 165,Distrito Sanitário V,Acompanhamento de hipertensos,alta,Reagendar as consultas de acompanhamento em atraso e revisar o cadastro de hipertensos da área.,"Acompanhamento de hipertensos em 45%, 24 pontos abaixo da mediana das unidades de contexto semelhante (69%)."
USF 165,Distrito Sanitário V,Cobertura de pré-natal,alta,"Priorizar busca ativa de gestantes no território da unidade, com apoio dos agentes comunitários de saúde.","Cobertura de pré-natal em 60%, 16 pontos abaixo da mediana das unidades de contexto semelhante (77%)."
USF 170,Distrito Sanitário VIII,Cobertura de pré-natal,alta,"Priorizar busca ativa de gestantes no território da unidade, com apoio dos agentes comunitários de saúde.","Cobertura de pré-natal em 46%, 30 pontos abaixo da mediana das unidades de contexto semelhante (77%)."
USF 171,Distrito Sanitário V,Cobertura de pré-natal,alta,"Priorizar busca ativa de gestantes no território da unidade, com apoio dos agentes comunitários de saúde.","Cobertura de pré-natal em 24%, 32 pontos abaixo da mediana das unidades de contexto semelhante (56%)."
